PrecNo,PrecName,Tot,D2Pre,D2Sen,D2Att,D2Aud,D2Tre,ROSen,ROAtt,ROAud,ROTre
0038,38 BOGGS EAST,562,20.186915887850468,26.47058823529412,30.965391621129324,30.155642023346303,33.46774193548387,0.5395683453237377,0.8992805755395739,2.3381294964028743,2.517985611510787
0039,39 BOGGS WEST,797,20.603674540682416,30.357142857142854,34.234234234234236,37.07865168539326,39.94211287988423,0.8816120906801062,2.1410579345088165,4.534005037783373,5.037783375314864
0040,40 BURNSIDE,206,22.277227722772277,27.807486631016044,32.33830845771145,31.413612565445025,33.14285714285714,0.9756097560975618,1.9512195121951237,3.9024390243902474,4.390243902439028
0041,41 COLLEGE NORTH,2100,54.80020757654385,51.398963730569946,51.88080117244749,53.16045380875203,54.30608886450905,0.6235011990407657,1.6306954436450805,2.685851318944843,2.9256594724220597
0042,42 COLLEGE SOUTH,1626,52.145643693107935,48.38917525773196,49.11616161616162,50.26917900403769,50.169262017603245,1.1735639283508292,2.1618282890673246,3.644224830142062,3.9530574428659704
0043,43 COLLEGE EAST,1454,62.37918215613383,58.03834808259587,58.29181494661921,58.54037267080745,60.063391442155314,0.6224066390041472,2.3513139695712337,3.112033195020747,3.457814661134162
0044,44 COLLEGE WEST,886,63.0937880633374,55.582524271844655,55.319148936170215,56.05858854860186,57.04697986577181,2.491506228765572,3.9637599093997777,6.00226500566251,6.00226500566251
0045,45 CURTIN NORTH,39,46.15384615384615,54.054054054054056,64.86486486486487,65.71428571428571,67.64705882352942,2.564102564102566,5.128205128205132,5.128205128205132,5.128205128205132
0046,46 CURTIN SOUTH,218,20.689655172413794,30.526315789473685,41.62679425837321,40.20618556701031,40.625,2.314814814814814,3.240740740740744,4.629629629629628,4.629629629629628
0047,47 FERGUSON NORTH 1,1319,54.828150572831426,50.03996802557954,50.42868277474669,52.71512113617377,53.02013422818792,0.3062787136294043,1.6845329249617125,2.986217457886675,3.4456355283307816
0048,48 FERGUSON NORTH 2,1005,62.24814422057264,56.32183908045977,57.61316872427984,58.465011286681715,58.0091533180778,1.4014014014014031,2.5025025025025016,4.404404404404405,4.70470470470471
0049,49 FERGUSON NORTHEAST 1,1576,71.00633356790992,63.978127136021875,66.64482306684143,67.0605612998523,67.06143597335307,0.7019783024888371,2.361199744735165,2.680280791320999,2.935545628589664
0050,50 FERGUSON NORTHEAST 2,861,67.53246753246754,60.86956521739131,60.9375,61.97564276048715,61.78861788617886,1.0477299185098987,2.793946449359719,4.307334109429572,4.423748544819562
0051,51 FERGUSON EAST,1186,53.1738730450782,50.497737556561084,48.57635893011217,50.376647834274955,50.63663075416258,-0.08525149190110604,1.1935208866155178,2.3017902813299185,2.7280477408354598
0052,52 FERGUSON WEST,1023,41.0337552742616,38.92893923789907,41.31736526946108,43.684210526315795,41.810344827586206,0.2949852507374673,1.2782694198623434,1.5732546705997996,2.2615535889872196
0053,53 GREGG,1122,29.837940896091514,32.751937984496124,35.37604456824512,36.75298804780876,37.279335410176536,0.9838998211091243,3.488372093023251,4.382826475849733,4.740608228980325
0054,54 HAINES,563,32.88461538461539,39.447731755424066,41.34790528233151,42.27642276422765,44.46764091858037,-0.3597122302158251,0.8992805755395739,2.877697841726623,3.237410071942448
0055,55 HALFMOON PROPER,698,41.301059001512854,40.15384615384615,41.54302670623146,41.77215189873418,42.1474358974359,0.8645533141210415,2.5936599423631135,2.8818443804034533,2.8818443804034533
0056,56 HARRIS EAST,1840,52.18150087260035,48.52856318522793,48.775055679287306,51.01431980906921,50.90909090909091,0.6010928961748596,1.6939890710382488,2.568306010928967,2.950819672131144
0057,57 HARRIS WEST,1589,55.40631296171927,51.88616810059563,51.49156939040207,53.59612724757953,53.422724064925895,0.8212255211623498,2.4005053695514866,3.663929248262787,4.106127605811749
0058,58 HOWARD TWP,487,25.053533190578158,31.136363636363633,32.54817987152035,31.27853881278539,34.18013856812933,1.446280991735538,3.3057851239669422,3.7190082644628086,3.3057851239669422
0059,59 HUSTON,735,25.147058823529413,28.37837837837838,30.53977272727273,31.825273010920434,29.20634920634921,1.3698630136986356,3.424657534246578,3.698630136986303,3.9726027397260277
0060,60 LIBERTY,785,24.831309041835357,33.61462728551336,37.15415019762846,39.09348441926346,42.2575976845152,1.2836970474967901,2.4390243902439046,3.209242618741981,3.080872913992294
